dia;mes;año ;hora costo marginal;
29;1;2015;21;77.24
29;1;2015;22;89.22
29;1;2015;23;88.98
29;1;2015;24;70.7
30;1;2015;1;71.94
30;1;2015;2;70.55
30;1;2015;3;55.61
30;1;2015;4;72.03
30;1;2015;5;71.57
30;1;2015;6;73.36
30;1;2015;7;74.09
30;1;2015;8;89.22
30;1;2015;9;89.22
30;1;2015;10;147.73
30;1;2015;11;147.73
30;1;2015;12;147.73
30;1;2015;13;147.73
30;1;2015;14;147.73
30;1;2015;15;147.73
30;1;2015;16;147.73
30;1;2015;17;147.73
30;1;2015;18;89.22
30;1;2015;19;89.22
30;1;2015;20;88.98
30;1;2015;21;89.22
30;1;2015;22;89.22
30;1;2015;23;72.26
30;1;2015;24;73.94
31;1;2015;1;74.72
31;1;2015;2;71.74
31;1;2015;3;71.36
31;1;2015;4;74.28
31;1;2015;5;74.66
31;1;2015;6;72.92
31;1;2015;7;74.6
31;1;2015;8;73.08
31;1;2015;9;100.78
31;1;2015;10;148.28
31;1;2015;11;148.31
31;1;2015;12;148.35
31;1;2015;13;148.28
31;1;2015;14;142.27
31;1;2015;15;99.9
31;1;2015;16;99.6
31;1;2015;17;82.53
31;1;2015;18;82.32
31;1;2015;19;91.4
31;1;2015;20;96.76
31;1;2015;21;96.12
31;1;2015;22;82.32
31;1;2015;23;73.24
31;1;2015;24;72.8
1;2;2015;1;72.86
1;2;2015;2;70.106
1;2;2015;3;72.867
1;2;2015;4;71.213
1;2;2015;5;72.156
1;2;2015;6;71.247
1;2;2015;7;72.483
1;2;2015;8;74.346
1;2;2015;9;74.325
1;2;2015;10;71.27
1;2;2015;11;82.316
1;2;2015;12;74.618
1;2;2015;13;74.288
1;2;2015;14;74.274
1;2;2015;15;82.316
1;2;2015;16;71.716
1;2;2015;17;82.316
1;2;2015;18;74.029
1;2;2015;19;74.517
1;2;2015;20;102.28
1;2;2015;21;101.566
1;2;2015;22;99.121
1;2;2015;23;82.532
1;2;2015;24;82.316
2;2;2015;1;72.504
2;2;2015;2;74.339
2;2;2015;3;71.471
2;2;2015;4;72.852
2;2;2015;5;71.618
2;2;2015;6;82.316
2;2;2015;7;73.383
2;2;2015;8;100.673
2;2;2015;9;102.328
2;2;2015;10;102.328
2;2;2015;11;102.328
2;2;2015;12;102.328
2;2;2015;13;102.328
2;2;2015;14;102.328
2;2;2015;15;102.328
2;2;2015;16;102.328
2;2;2015;17;102.328
2;2;2015;18;102.328
2;2;2015;19;102.328
2;2;2015;20;102.328
2;2;2015;21;102.328
2;2;2015;22;102.328
2;2;2015;23;102.328
2;2;2015;24;101.201
3;2;2015;1;74.192
3;2;2015;2;71.233
